nom,activites,adresse,code_postal,ville,departement,telephone_1,telephone_2,has_email_form,site_web,horaires,moyens_paiement,prestations,produits,zone_intervention,description,siren,siret,code_naf,date_creation,effectif,type_etablissement,note_pj,nb_avis_pj,url_pagesjaunes,date_extraction
Nicolas Vial,Plombiers,3 route Chutes Voltaires 97320 Saint Laurent du Maroni,97320,Saint Laurent du Maroni,973,0694932514,0338149222,non,,Lundi: 08h00 - 12h00 / 13h00 - 18h00 | Mardi: 08h00 - 12h00 / 13h00 - 18h00 | Mercredi: 08h00 - 12h00 / 13h00 - 18h00 | Jeudi: 08h00 - 12h00 / 13h00 - 18h00 | Vendredi: 08h00 - 12h00 / 13h00 - 18h00 | Samedi: Fermé | Dimanche: Fermé,,entretien de chauffe-eau | installateur de cabine de douche | rénovation de salle de bain | entretien de chauffe-eau à gaz | changement de chauffe-eau | installation de sanitaire | plomberie de salle de bain | réparation de chauffe-eau,ballon d'eau chaude | chauffe-eau thermodynamique,,,794936088,79493608800010,4322A,8 août 2013,,Siège,,,https://www.pagesjaunes.fr/pros/55201117,2026-01-25
Aquasun,Plombiers | Énergies renouvelables,4 lotissement Alamandas 97354 Remire Montjoly,97354,Remire Montjoly,973,0694401480,0694287031,oui,,Lundi: 07h00 - 17h00 | Mardi: 07h00 - 17h00 | Mercredi: 07h00 - 17h00 | Jeudi: 07h00 - 17h00 | Vendredi: 07h00 - 17h00 | Samedi: Fermé | Dimanche: Fermé,,,,,,842626384,84262638400023,4322A,19 septembre 2018,6 à 9 salariés,Siège,,,https://www.pagesjaunes.fr/pros/63518726,2026-01-25
Plomb Eco Dépannage,Plombiers | Énergies renouvelables,14 R Des Libelulles ZI Collery 14 zone industrielle Collery 1 97300 Cayenne,97300,Cayenne,973,0594379974,0594318998,oui,,,,,,,,849497755,84949775500033,4322A,13 mars 2019,10 à 19 salariés,Siège,,,https://www.pagesjaunes.fr/pros/52981761,2026-01-25
Eurl Auffray,Plombiers,bât C 43 avenue St Dominique 97354 Remire Montjoly,97354,Remire Montjoly,973,0694401480,0338149222,non,,Lundi: 07h00 - 16h30 | Mardi: 07h00 - 16h30 | Mercredi: 07h00 - 16h30 | Jeudi: 07h00 - 16h30 | Vendredi: 07h00 - 16h30 | Samedi: Fermé | Dimanche: Fermé,,,,,,842626384,84262638400015,4322A,19 septembre 2018,,Siège,,,https://www.pagesjaunes.fr/pros/58598625,2026-01-25
Gerard Lemee,Plombiers,85 rue Emile Pauline 97310 Kourou,97310,Kourou,973,0594320582,0594323171,non,,,,,,,,513073502,51307350200017,4322A,,,Siège,1,,https://www.pagesjaunes.fr/pros/51863227,2026-01-25
Joseph Auguste,Plombiers,15 allée Alexandre Berthier 97310 Kourou,97310,Kourou,973,0694267309,0594323171,non,,Lundi: 07h00 - 16h00 | Mardi: 07h00 - 16h00 | Mercredi: 07h00 - 16h00 | Jeudi: 07h00 - 16h00 | Vendredi: 07h00 - 16h00 | Samedi: Fermé | Dimanche: Fermé,,rénovation de salle de bain | détection de fuite d'eau | réparation de chauffe-eau | réparation d'émail de sanitaire | installateur de cabine de douche | entretien de chauffe-eau à gaz | plomberie industrielle | entretien de chauffe-eau | rénovation de sanitaire | plomberie de salle de bain | inspection vidéo de canalisation | installation de sanitaire | changement de chauffe-eau,chauffe-eau thermodynamique | ballon d'eau chaude,,,433638533,43363853300037,4322A,1 décembre 2000,3 à 5 salariés,Siège,,,https://www.pagesjaunes.fr/pros/52735082,2026-01-25
HR Services,Dépannage plomberie,17 impasse Lancet 97351 Matoury,97351,Matoury,973,0694216288,0694231624,non,,,,,,,,941171530,94117153000012,4322A,1 mars 2025,,Siège,4,,https://www.pagesjaunes.fr/pros/63902194,2026-01-25
Pierre Tienor,Plombiers,25 rue Montravel 97320 Saint Laurent du Maroni,97320,Saint Laurent du Maroni,973,0694025579,0694092290,oui,,Lundi: 07h00 - 18h00 | Mardi: 07h00 - 18h00 | Mercredi: 07h00 - 18h00 | Jeudi: 07h00 - 18h00 | Vendredi: 07h00 - 18h00 | Samedi: 07h00 - 18h00 | Dimanche: Fermé,,installation de sanitaire,,,,849614771,84961477100012,4322A,15 avril 2019,0 salarié,Siège,,,https://www.pagesjaunes.fr/pros/59075697,2026-01-25
PG. Palms,Plombiers,10 lotissement Eutrope 97354 Remire Montjoly,97354,Remire Montjoly,973,0694209109,0694401480,non,,,,,,,,797782729,79778272900017,0113Z,9 octobre 2013,,Siège,4,,https://www.pagesjaunes.fr/pros/55162693,2026-01-25
Richard Klock,Plombiers,9 allée Cassialatas 97320 Saint Laurent du Maroni,97320,Saint Laurent du Maroni,973,0694418299,0338149222,non,,,,,,,,512799297,51279929700019,4322A,22 juin 2009,0 salarié,Siège,,,https://www.pagesjaunes.fr/pros/52563219,2026-01-25
Jean Nixon Plomberie Electricité,Plombiers,17 rue Victor Hugo 97320 Saint Laurent du Maroni,97320,Saint Laurent du Maroni,973,0694962792,0694092290,non,,,,,,,,829585439,82958543900013,4322A,2 mai 2017,,Siège,5,,https://www.pagesjaunes.fr/pros/61303682,2026-01-25
A.Georg EURL,Plombiers,16 allée Fromager 97355 Macouria,97355,Macouria,973,0694275610,0338149222,non,,,,entretien de canalisation,,,,793744061,79374406100011,4312A,1 juillet 2013,,Siège,,,https://www.pagesjaunes.fr/pros/54855232,2026-01-25
D.G.S,Plombiers,Cite Bonhomme 22 avenue Flamboyants 97300 Cayenne,97300,Cayenne,973,0694965045,0338149222,non,,,,,,,,832022644,83202264400013,4322A,14 septembre 2017,,Siège,,,https://www.pagesjaunes.fr/pros/58442235,2026-01-25
